,index,id,season,stage,date,home_team_api_id,away_team_api_id,home_team_name,away_team_name,home_team_overall,away_team_overall,home_team_potential,away_team_potential,home_build_up,away_build_up,home_def_press,away_def_press,home_goal_diff,away_goal_diff,home_matchs_won,away_matchs_won
0,0,11003,2009/2010,8,2009-10-18,8564,8686,ACM,ROM,0.8135904499540864,0.8126721763085399,0.8833792470156108,0.852157943067034,,,,,133,119,117,120
1,1,17828,2008/2009,30,2009-05-23,9772,9807,BEN,BEL,0.775482093663912,0.7006427915518825,0.8342516069788796,0.7529843893480256,,,,,307,-62,149,29
2,2,8095,2008/2009,7,2008-10-04,9788,8722,GLA,FCK,0.731864095500459,0.7093663911845728,0.7823691460055096,0.7842056932966024,,,,,24,-68,84,47
3,3,10882,2009/2010,31,2010-03-28,8551,10233,SIE,GEN,0.716712580348944,0.7745638200183655,0.7846648301193756,0.8195592286501377,0.40404040404040403,0.40404040404040403,0.40404040404040403,0.40404040404040403,-64,-22,30,81
4,4,13973,2010/2011,18,2010-12-12,8674,10229,GRO,ALK,0.6997245179063362,0.7249770431588615,0.7662993572084481,0.7970615243342515,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.30303030303030304,-27,108,76,110
5,5,23903,2014/2015,19,2015-01-16,7869,8372,COR,EIB,0.7180032649729619,0.7356629061174513,0.7554090690454327,0.749574751847479,0.3838383838383838,0.37373737373737376,0.3838383838383838,0.37373737373737376,-35,-34,2,12
6,6,14436,2011/2012,34,2012-05-06,9761,10219,NAC,RKC,0.685032139577594,0.6726354453627181,0.7144168962350781,0.7107438016528925,0.43434343434343436,0.41414141414141414,0.43434343434343436,0.41414141414141414,-87,-77,57,26
7,7,17439,2015/2016,13,2015-10-23,1601,8025,CHO,SLA,0.6190126371944554,0.6432616205343479,0.6594254230617868,0.6749748567930386,0.43434343434343436,0.45454545454545453,0.43434343434343436,0.45454545454545453,3,23,75,70
8,8,5518,2009/2010,8,2009-10-04,9941,8689,TOU,LOR,0.7194674012855832,0.6827364554637282,0.8089990817263545,0.7529843893480258,,,,,11,-12,81,79
9,9,24376,2015/2016,27,2016-03-03,7878,9869,GRA,SPG,0.7358126721763084,0.7405876951331496,0.7821284470044799,0.7868686868686868,0.48484848484848486,0.45454545454545453,0.48484848484848486,0.45454545454545453,-88,-80,40,44
10,10,13298,2008/2009,11,2008-11-16,8674,8526,GRO,GRA,0.805325987144169,0.7603305785123967,0.8558310376492194,0.8236914600550965,,,,,-27,-73,76,20
11,11,16954,2013/2014,13,2013-10-27,8025,8027,SLA,ZAW,0.638559840832568,0.6300734618916436,0.6599403122130394,0.6460514233241507,0.30303030303030304,,0.30303030303030304,,23,-14,70,16
12,12,12121,2012/2013,8,2012-10-20,8543,8564,LAZ,ACM,0.7938475665748392,0.8048668503213959,0.8108356290174473,0.8328741965105603,0.35353535353535354,0.45454545454545453,0.35353535353535354,0.45454545454545453,35,133,105,117
13,13,23595,2013/2014,25,2014-02-22,9865,9864,ALM,MAL,0.7146005509641874,0.7587563951200316,0.7474441383532292,0.7712733394551576,0.37373737373737376,0.6464646464646465,0.37373737373737376,0.6464646464646465,-87,-5,34,89
14,14,11985,2012/2013,30,2013-03-30,8600,9857,UDI,BOL,0.7791749980455215,0.7383500490938508,0.8085027766845948,0.77641785823604,0.40404040404040403,0.43434343434343436,0.40404040404040403,0.43434343434343436,11,-85,95,51
15,15,3570,2012/2013,4,2012-09-15,10252,10003,AVL,SWA,0.7447199265381084,0.7350780532598713,0.7947658402203857,0.7851239669421488,0.43434343434343436,0.48484848484848486,0.43434343434343436,0.48484848484848486,-102,-24,68,49
16,16,4858,2008/2009,17,2008-12-06,9830,9748,NAN,LYO,0.6905417814508724,0.7842056932966024,0.7392102846648302,0.8420569329660238,,,,,-44,161,34,128
17,17,14974,2013/2014,26,2014-03-02,9908,8611,UTR,TWE,0.7007739735012464,0.7252703805734109,0.7328457737548647,0.7774181205999388,0.45454545454545453,0.4444444444444444,0.45454545454545453,0.4444444444444444,9,165,84,120
